name,id,planetary,decivRemove,script,desc,icon,order
Les substances volatiles abondent,volatiles_abundant,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,De nombreux éléments volatils peuvent être économiquement extraits du marché.,graphics/icons/markets/volatiles_abundant.png,40
De nombreux éléments volatils,volatiles_plentiful,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market est une source de volatilité de taille mondiale – riche, profonde et puissante.",graphics/icons/markets/volatiles_plentiful.png,40
,,,,,,,
,,,,,,,
Traces de produits organiques,organics_trace,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Le marché est presque dépourvu de réserves de matières organiques, même si une certaine extraction est possible.",graphics/icons/markets/organics_trace.png,38
Produits organiques communs,organics_common,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Des réserves de matières organiques économiquement exploitables peuvent être trouvées sur le marché.,graphics/icons/markets/organics_common.png,38
Matières organiques abondantes,organics_abundant,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Un fleuve de richesse coule sous la surface du $market - pour ceux qui voudraient le trouver et l'exploiter.,graphics/icons/markets/organics_abundant.png,38
Des produits biologiques abondants,organics_plentiful,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Des réservoirs de matières organiques précieuses jaillissent à la surface du marché en gouttes au-dessus de bassins profonds et sombres qui promettent de trouver des océans de richesse juste en dessous.,graphics/icons/markets/organics_plentiful.png,38
,,,,,,,
,,,,,,,
Pauvres terres agricoles,farmland_poor,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"Ici, la vie végétale ne pousse que lentement et avec lassitude. Il faudrait des agriculteurs dotés d’un talent à la hauteur de leur désespoir pour faire fructifier ces terres.",graphics/icons/markets/farmland_poor.png,70
Terres agricoles adéquates,farmland_adequate,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Une biosphère robuste et compatible avec les Terriens permet la culture agricole sur le marché.,graphics/icons/markets/farmland_adequate.png,70
Terres agricoles riches,farmland_rich,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,Les champs de $market promettent une riche récolte pour récompenser les agriculteurs qui travaillent ces terres fertiles.,graphics/icons/markets/farmland_rich.png,70
Terres agricoles abondantes,farmland_bountiful,TRUE,,com.fs.starfarer.api.impl.campaign.econ.ResourceDepositsCondition,"$market est un véritable Eden ; fleuri, tumultueux, luxuriant et lumineux avec la vie végétale. Les branches pendent bas, chargées de fruits ; des champs de grains dorés scintillent sous la brise herbacée.",graphics/icons/markets/farmland_bountiful.png,70
,,,,,,,
Panneau solaire orbital,solar_array,TRUE,,com.fs.starfarer.api.impl.campaign.econ.SolarArray,"Cette planète possède une série de stores ou de miroirs solaires en orbite, judicieusement positionnés pour rapprocher ses conditions de surface des normes terriennes.",graphics/icons/markets/solar_shade.png,101
