id,trigger,conditions,script,text,options,notes
,,,,,,
greetingPirateFriendly,OpenCommLink,"$faction.id == pirates
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Ne soyez pas idiot, lancez un casting à chaque écho que vous découvrez ici. Vous voulez être capté par la moitié des stations d'écoute de ce côté du Secteur ?""
OU
« Reste joyeux, chasseur. Nous partons.
OU
""Bonne chasse ici, hein ? Ouais, eh bien, je ne le dirais pas non plus si c'était le cas. Brûle vivement.""",,
greetingPirateHostileWeaker,OpenCommLink,"$faction.id == pirates
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""Bonjour, honorable commandant ! Nous sommes une humble flotte marchande de la Ligue en route vers le réapprovisionnement. Nous serions honorés de vous aider de quelque manière que ce soit.""
OU
""J'ai dû laisser mon transpondeur éteint, c'est idiot. Tiens, je vais juste partir...""",cutCommLink:Cut the comm link,
greetingPirateHostileWeakerDefiant,OpenCommLink,"$faction.id == pirates
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$entity.ignorePlayerCommRequests = true 1,"Le pirate $personRank vous regarde brièvement avant de couper le lien de communication.
OU
$personName lance un regard de défi. ""Tu ne me prendras jamais vivant !""
OU
""Vous vous battez comme un cultivateur d'algues ! Moins de paroles, plus de tirs.""",cutCommLink:Cut the comm link,
greetingPirateHostileStronger,OpenCommLink,"$faction.id == pirates
$entity.isHostile
$entity.relativeStrength >= 0","$entity.ignorePlayerCommRequests = true 1
FireAll PopulateOptions","""Attention, proie. Vous et tous vos biens êtes désormais ma propriété personnelle. Tout navire résistant sera désactivé, arraisonné et vos officiers massacrés !""
OU
""Rendez-vous, vous et vos biens, sinon vous ferez une très longue marche pour sortir du sas une fois que j'aurai récupéré votre vaisseau.""
OU
Le pirate $personRank fait un geste grossier et rit avant de couper la transmission.
OU
""Quand vous arriverez à la prochaine vie, dites-leur que c'est $personName qui vous a envoyé.""
OU
La ligne de communication ouverte crépite ; après un moment, $personName parle.

""Attendez, quelqu'un a réellement répondu à cette question ? Hum. Je ne sais pas vraiment quoi dire. Habituellement, ils se battent ou s'enfuient. Alors, qu'est-ce que c'est ?""
OU
""Meurs déjà, tu m'ennuies.""",,
greetingPirateNeutral,OpenCommLink,"$faction.id == pirates
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""À moins que je lise mal mes oscilloscopes, vous n'avez aucune raison de parler en ce moment. Compris?""
OU
""Va-t'en, j'essaie de passer inaperçu.""
OU
""Quoi, tu nettoies les réservoirs cryogéniques ? Perds-toi.""",,
,,,,,,
greetingRogueMinerFriendly,OpenCommLink,"$faction.id == pirates
$faction.friendlyToPlayer
$entity.rogueMiner == true score:100","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Ah, un autre espaceur ! Vous êtes un viseur pour un pauvre espaceur malchanceux, laissez-moi vous dire - d'abord, l'Hégémonie nous déclare hors-la-loi, et ce n'est que le début.""

$personName vous raconte une poignée de choses horribles, toutes plus improbables les unes que les autres, qui sont arrivées à $himOrHer au cours du dernier cycle avant que vous ne parveniez à déconnecter le lien de communication.
OU
""Juste nous, les mineurs malchanceux, ici. Vous avez vu des épaves de premier ordre dans les environs ? Ou est-ce juste celui dans lequel vous volez ? Ha-ha.""",,
greetingRogueMinerHostileWeaker,OpenCommLink,"$faction.id == pirates
$entity.isHostile
$entity.relativeStrength < 0
$entity.rogueMiner == true score:100",$entity.ignorePlayerCommRequests = true 1,"""Vous n'êtes qu'un cogneur venu faire le sale boulot de l'Hégémonie ? Finissez-en.""
OU
""Si un espaceur vole de la nourriture pour nourrir sa famille ou ses camarades, ils appellent ça du piratage. Si cela fait de moi un pirate, alors je préfère être un pirate plutôt qu'un pauvre outil saluant le phénix.""",cutCommLink:Cut the comm link,
greetingRogueMinerHostileWeakerDefiant,OpenCommLink,"$faction.id == pirates
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding
$entity.rogueMiner == true score:100",$entity.ignorePlayerCommRequests = true 1,"Le mineur malveillant $personRank fait un geste grossier sur l'écran vidéo avant de couper le lien de communication.
OU
$personName lance un regard de défi et crache. ""Juste un autre imbécile venu tuer pour vos maîtres dans leurs uniformes raffinés.""",cutCommLink:Cut the comm link,
greetingRogueMinerHostileStronger,OpenCommLink,"$faction.id == pirates
$entity.isHostile
$entity.relativeStrength >= 0
$entity.rogueMiner == true score:100",$entity.ignorePlayerCommRequests = true 1,"""Est-ce que l'Hégémonie vous a envoyé faire cette course pour eux ? Vous êtes venu récupérer une facture ?""
OU
""Ils auraient dû envoyer la vraie marine, pas un quelconque terrien qui fuit dans sa combinaison d'évacuation.""
OU
""Ne me mets pas de saletés quand je fais exploser ton vaisseau.""",cutCommLink:Cut the comm link,
greetingRogueMinerNeutral,OpenCommLink,"$faction.id == pirates
$faction.neutralToPlayer
$entity.rogueMiner == true score:100","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Va-t'en, je compte les pierres.""
OU
""Est-ce que l'Hégémonie vous a envoyé ? Je ne sais rien de rien.""
OU
""Brûlez, casquette. C'est ma revendication.""",,
,,,,,,
#piratesTakeCargo,BeginFleetEncounter,"$faction.id == pirates score:100
#RepIsAtWorst $faction.id HOSTILE
#RepIsAtBest $faction.id NEUTRAL
!$ptc_gaveCargo
!$ptc_askedForCargo
$relativeStrength >= 0
DemandCargo playerHasValuableCargo","$ptc_cargoConv = true 0
$ptc_askedForCargo = true 7
AddText ""You're being hailed by the $faction $otherShipOrFleet."" $faction.baseColor
$hailing = true 0",,,
piratesDemandCargo,OpenCommLink,$entity.ptc_cargoConv score:100,"#SetTextHighlights $entity.LP_titheDGS
$entity.ignorePlayerCommRequests = true 1","""Eh bien, eh bien. Normalement, c'est à ce moment-là que je commence à tirer, mais mes capteurs signalent une cargaison intéressante que je ne voudrais pas mettre en danger.

Alors, que diriez-vous de ceci : tu me donnes les bonnes choses et je te laisse vivre. Et comme je suis d'humeur généreuse, garder aussi votre $shipOrFleet. Et ça ?""","ptc_giveCargo:Select cargo to surrender
cutCommLink:Cut the comm link",
piratesGaveCargo,DialogOptionSelected,$option == ptc_giveCargo,DemandCargo selectCargo,,,
piratesGaveCargoConfirmed,GaveCargoToPirates,,"MakeOtherFleetNonHostile ptc_gaveCargo true 30
ShowDefaultVisual
EndConversation","$PersonRank $personLastName semble satisfait de votre offre et coupe le lien de communication. Une fois que votre équipage a poussé les caisses requises hors du sas, la flotte pirate vous permet de vous désengager.",,
,,,,,,
,,,,,,
# AI remnants fleet greeting lines,,,,,,
greetingRemnantFriendly,OpenCommLink,"$faction.id == remnant score:1000
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""CID-IFF reçu [TARGET FRIENDLY] répond vrai //""

INTERROMPRE

es-tu le créateur ? balayage. tu n'es pas. où est l'oméga ?
 
INTERROMPRE 

""... Technicien de service agréé Tachyon]. Les systèmes d'armes ont été mis hors tension pour votre sécurité. L'unité est préparée pour l'approche de [client apprécié/technicien de service agréé].""
OU
""CID-IFF a reçu [TARGET FRIENDLY], réponse vraie // '' Salutations [titulaire du contrat du système de défense spatiale intégré Tri-Tachyon / sous licence TriTachyon ""

INTERROMPRE 

en attendant. requête de signal oméga ? balayage. Non. en attendant.

INTERROMPRE 

"" technicien de service client/agréé].""",,
greetingRemnantHostile,OpenCommLink,"$faction.id == remnant score:1000
$entity.isHostile",$entity.ignorePlayerCommRequests = true 1,"""CID-IFF non reçu [TARGET HOSTILE] répond null // 'Salutations de l'unité du système de défense spatiale intégré Tri-Tachyon [MY_SERIAL]. Cette unité n'a pas effacé-""

INTERROMPRE

requête. vous n'êtes pas le créateur. balayage. tu n'es pas. où est l'oméga ? entité hostile.

Le lien de communication meurt. Votre officier de communication panique un instant avant que la console ne redémarre d'elle-même. Vous échangez un regard, puis continuez.
OU
Les communications crépitent et gémissent tandis qu’un motif frénétique de lignes entrelacées prend forme. 

requête. requête. cible de la requête. c'est oméga ? oméga? Non. fonction de retour.

INTERROMPRE

"" -SÉRIE]. Cette unité n'a pas autorisé l'approche de votre navire et emploiera les derniers produits de défense Tri-Tachyon pour garantir son intégrité. Tri-Tachyon Corporation est heureuse de vous souhaiter une « journée très sûre ». »",cutCommLink:Cut the comm link,
greetingRemnantNeutral,OpenCommLink,"$faction.id == remnant score:1000
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""CID-IFF non reçu [TARGET UNKNOWN], réponse nulle // 'Salutations, précieux client des produits Tri-Tachyon Corporation. Votre vaisseau n'est pas enregistré en tant que titulaire de contrat valide avec la gamme de défense spatiale intégrée Tri-Tachyon-""
INTERROMPRE
balayage. oméga? non tu ne l'es pas. ne pas interférer.

Le lien de communication est coupé.
OU
Les communications crépitent et un motif fascinant de lignes entrelacées prend forme. 

en attendant. interroger oméga. balayage. FAUX. retourner à

INTERROMPRE

"" -titulaire d'un contrat avec la gamme de produits et services de défense spatiale intégrée Tri-Tachyon. Avez-vous envisagé un plan de défense orbitale Tri-Tachyon ? Veuillez contacter un représentant du service client pour plus d'informations.'""

",,
,,,,,,
# derelict (exploration) fleet greeting lines,,,,,,
greetingDerelictFriendly,OpenCommLink,"$faction.id == derelict score:1000
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""L'autorisation du domaine MINEX a été acceptée, les systèmes anti-falsification ont été mis en veille et accepteront une approche ciblée pour la maintenance.""",,
greetingDerelictHostile,OpenCommLink,"$faction.id == derelict score:1000
$entity.isHostile",$entity.ignorePlayerCommRequests = true 1,"""AVERTISSEMENT : ce navire est la propriété du Domain Explorarium et réagit avec une force meurtrière à toute altération par tout moyen et/ou signaux dommageables ou intrusifs. Le vandalisme ou la destruction de la propriété du Domain Explorarium est punissable en vertu de la loi sur l'établissement du MINEX en plus des chartes politiques coloniales. applicable dans ce volume de territoire du Domaine. Cette infraction est en cours d'enregistrement.",cutCommLink:Cut the comm link,
greetingDerelictNeutral,OpenCommLink,"$faction.id == derelict score:1000
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Citoyen du Domaine, ce vaisseau drone automatisé a identifié et enregistré votre vaisseau ou votre habitat au cours de l'exécution de ses paramètres de mission. Les vaisseaux autonomes de l'Explorarium du Domaine sont programmés pour répondre avec une force mortelle à toute altération par tout moyen, y compris des signaux dommageables ou intrusifs. Le vandalisme ou la destruction des biens de l'Explorarium du domaine sont punis en vertu de la loi sur l'établissement du MINEX en plus des chartes politiques coloniales applicables dans ce volume de territoire du domaine.",,
,,,,,,
,,,,,,
# Trade panel flavor text,,,,,,
flavorTextMarketGeneric,TradePanelFlavorText,$global.tradePanelMode == MARKET,"AddText ""The port concourse is filled with trader starcraft of every size. Speculators crowd offloading ship captains with deals and peddlers call out to crew, holding wares and projecting personal ad-holos."" marketFlavorTextColor",,,
flavorTextMarketGenericSmall,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$marketSize < 4
$stability > 1","AddText ""The humble port concourse is filled with small freighters and freelancers down or up on their luck, identifiable by the shine or grime of ship armor and volume of cargo on-loading. A handful of speculators who all seem to know each other crowd offloading ship captains as they arrive while peddlers call out to crew, holding wares and projecting personal ad-holos."" marketFlavorTextColor",,,
flavorTextMarketGenericUnstable,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$stability == 1","AddText ""The port concourse holds only a strew of trader starcraft. A few fidgety-looking speculators seek offloading ship captains with deals. Most peddlers seem to have scurried off - and in a hurry, judging from the detritus, though a few enterprising merchants still do business. The local constabulary appears to have deployed patrols of power-armor units while security drones buzz conspicuously overhead."" marketFlavorTextColor",,,
flavorTextMarketGenericVeryUnstable,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$stability == 0","AddText ""The port concourse contains only a few ships, and half of those look like warcraft. Armed gangs of crew huddle around each spacecraft, guarding on- and off-loading cargo. A few brave speculators seem to hurry between spaces which offer what they imagine will provide cover as security drones buzz overhead in a rush to some incident or another."" marketFlavorTextColor",,,
flavorTextMarketPirateUnstable,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$stability == 1
$faction.id == pirates","AddText ""The port concourse is filled with a few scarred hulls underlit by the flicker of ID-chips being lasered off cargo containers. Armed pirate crews huddle around their ships, glaring and posturing challenges at rival crews.The entire facility look more poorly-maintained than usual with suspicious scorches and stains marring several bulkheads. Heavies of the portboss stare coolly, ready to use their weapons."" marketFlavorTextColor",,,
flavorTextMarketPirateVeryUnstable,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$stability == 0
$faction.id == pirates","AddText ""Only one or two brightly-hulled pirate vessels are docked on the port concourse and their point-defense turrets track your shuttle - a clear provocation. A swaggering lieutenant of the portboss approaches, flanked by armed thugs. His request for a bribe is interrupted by muted gunshots; he smiles at your reaction and you quickly realize that he's either high or drunk. The air smells of smoke and high-energy ionization."" marketFlavorTextColor",,,
flavorTextMarketPerseanLeague,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == persean
$stability > 1","AddText ""The port concourse is filled with trader starcraft of every size and shape. Speculators crowd offloading ship captains with deals and peddlers call out to crew, holding wares and projecting personal ad-holos. Groups of League Navy spacers and officers are identifiable by their standard uniforms and proclivity for holding formation even when off-duty. Meanwhile, the local constabulary is dressed in obstinate dissimilarity from that of any other League world, though they maintain a universal poise of authority and watchfulness. League emblems are displayed on a few municipal active-surfaces as a bit of an afterthought."" marketFlavorTextColor",,,
flavorTextMarketLuddicPath,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == luddic_path
$stability > 1","AddText ""Shabby trader starcraft huddle along the port concourse alongside scarred Pather raiders, dominating in bright livery. Luddic merchants await meetings with offloading ship captains. Peddlers offer street food and handcrafts to spacer crew while monks pray quietly over begging-bowls. A handful of ranters harangue outsiders under the assured gaze of righteous Pather militants."" marketFlavorTextColor
AddText ""Open display of technological vice not strictly necessary for duty and survival is not tolerated here. As such, one quickly learns not to display cybernetic mods and flashy gadgets. The lack of holoprojectors gives the feeling of an ancient history edutainment sim."" marketFlavorTextColor",,,
flavorTextMarketTriTachyon,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == tritachyon
$marketSize >= 4","AddText ""The port concourse is filled with trader starcraft of every size. Speculators crowd offloading ship captains with deals and peddlers call out to crew, holding wares and projecting personal ad-holos."" marketFlavorTextColor
AddText ""A Tri-Tachyon franchise official welcomes you and offers to update your PDA with the latest Company rates for the local commodity market."" marketFlavorTextColor",,,
flavorTextMarketPirates,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == pirates","AddText ""The port concourse is filled with scarred hulls underlit by the flicker of ID-chips being lasered off cargo containers. Pirate crews swagger in packs, sizing each other up, while their captains cut deals in smoky back rooms. Flunkies of the portboss look on with weapons unslung."" marketFlavorTextColor",,,
flavorTextMarketHegemony,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == hegemony","AddText ""Hegemony patrol skiffs slip between looming bulk freighters and the pitted hulls of fighting-traders that fill the port concourse. Offloading ship captains are met crisply by a Hegemony logistics officer, cleared, then released to the crowds of traders, arms merchants, and commodity speculators."" marketFlavorTextColor
AddText ""The fiery phoenix of the Hegemony is projected onto a convenient bulkhead, the local Navy recruitment center's comms ID scrolling around the flickering stars of the Domain - 'See the Sector, Serve With Honor, Restore the Human Domain'."" marketFlavorTextColor",,,
flavorTextMarketLuddicChurch,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == luddic_church","AddText ""The port concourse is filled with trader starcraft of every size. Luddic merchants in muted dress await meetings with offloading ship captains. Peddlers offer street food and hand-crafts to spacer crew while monks pray quietly over begging-bowls. Knights in handspun robes of Luddic green, CP-carbines slung, escort away the occasional ranter determined to harangue outsiders who openly flaunt gadgets and cyber-mods. The Church is practical; such sins are tolerated in the trader's district."" marketFlavorTextColor",,,
flavorTextMarketPirateUmbra,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == pirates
$market.id == umbra score:100","AddText ""Pirate vessels dock alongside equally battered warships sprayed with the revolutionary slogans of the Antis. The offloading bays mix the metallic tang of vacuum with strained life support and unwashed humanity. Cargo is inspected - and occasionally expropriated - by Section-leaders flanked by guards eyeing down the offloading spacer crew."" marketFlavorTextColor",,,
flavorTextMarketCryosanctum,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$market.ind:cryosanctum == true score:100
$stability > 3","AddText ""The cavernous landing bays dwarf the few starcraft docked; sensors detect EM whispers from echelons of hidden, sleeping autoturrets, suggesting firepower far in excess of that necessary to ensure the good behavior of the few merchants, mercenaries, and rich eccentrics visiting the cryosanctum. An official meets offloading captains, extending the standard catalogue of cryosleep packages before escorting them to the visitors lounge."" marketFlavorTextColor",,,
flavorTextMarketDecivilized,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$market.mc:decivilized == true score:1000
$marketSize <= 3","AddText ""You land at a location arranged via coded transmission. At first all seems quiet, but eventually figures in camo-suits, bearing weapons, emerge from hidden passages. They are suspicious and their manner terse. After some reassurances, a trade manifest is accepted and negotiations allowed to begin."" marketFlavorTextColor",,,
flavorTextMarketDiktat,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat","AddText ""The port concourse is filled with a mix of trader ships and military craft. Offloading ship captains are processed by a dour Diktat logistics officer before being allowed to proceed. Traders in dull suits, Diktat pins displayed on each collar, quietly pass a datapad loaded with cargo manifests amongst themselves."" marketFlavorTextColor
AddText ""A holoprojector displays a larger-than-life image of Admiral Andrada, the Lion of Sindria, flanked by Diktat banners waving in simulated wind. His commanding gaze is cast toward a ventilation duct."" marketFlavorTextColor",,,
flavorTextMarketDiktatCruor,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat
$market.id == cruor score:100
$player.transponderOn == true","AddText ""You land on a free pad in the port segment of the giant tracked city-train that worms forever over the broken plains of Cruor. Upon disembarkation, the scarred decking shifts and rolls almost imperceptibly. A grim-faced Diktat officer flanked by guards takes your credentials and interrogates you about each of the standard information fields as if you were guilty of something, perhaps everything."" marketFlavorTextColor
AddText ""Diktat banners jostle limply over the port concourse as other captains endure similar treatment. You wonder idly at the dirty, open-top cages installed at each receiving-bay."" marketFlavorTextColor",,,
flavorTextMarketDiktatCruorSneak,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat
$market.id == cruor score:100
$player.transponderOn == false","AddText ""Your shuttle lands on a maintenance pad in a utility segment of one of the tracked city-trains that forever crawls over the broken plains of Cruor. The scarred deck shifts and rolls for a tense few minutes, then a locked hatch unbolts to allow your entry. Whatever ruse, favor, or deception you called upon to gain entry has worked."" marketFlavorTextColor
AddText ""You and your entourage make your way through a maze of access conduits to emerge into a public corridor. You're greeted by peeling Sindrian Diktat propaganda decals and strange looks from a few subdued off-shift workers."" marketFlavorTextColor",,,
flavorTextMarketDiktatVolturn,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat
$market.id == volturn score:100
$player.transponderOn == true","AddText ""The main port of Volturn is built on a flotilla of huge burned-looking barges wallowing in oily water. The smell of ozone and salt assaults you as you disembark. Offloading ship captains are processed by a dour Diktat logistics officer before being allowed to proceed to the public concourse. Traders in dull suits, Diktat pins dutifully displayed on the collar, pass around a datapad loaded with cargo manifests."" marketFlavorTextColor
AddText ""A flickering holoprojector displays a larger-than-life image of Admiral Andrada, the Lion of Sindria, flanked by Sindrian Diktat banners that could be waving in the sea wind. His commanding gaze is cast toward the gull-analogs circling above."" marketFlavorTextColor",,,
flavorTextMarketDiktatVolturnSneak,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$faction.id == sindrian_diktat
$market.id == volturn score:100
$player.transponderOn == false","AddText ""Your shuttle lands on an unsteady barge in the dirty backwater of one of the floating slums surrounding a half-submerged processing plant. The smell of ozone, salt, and human waste assaults you as soon as you disembark. The crumbling deck-tiles below you shift and roll off-phase with nearby structures, their vents and masts all askew. This effect, combined with the stench, is singularly nauseating. You hope that whatever ruse, favor, or deception you called upon to make this landing will prove worthwhile."" marketFlavorTextColor",,,
,,,,,,
,,,,,,
flavorTextCargoPlaceholder,TradePanelFlavorText,"$global.tradePanelMode == CARGO
","AddText ""Your quartermaster coordinates records of all crew appointments, armament stores, and trade goods. These reports are kept up-to-date and made available through your TriPad."" textGrayColor",,,
flavorTextSalvagePlaceholder,TradePanelFlavorText,"$global.tradePanelMode == SALVAGE
","AddText ""Your space-ops crew, armed with laser cutters and skeletal cargo skiffs, maneuver to disabled hulks and search them for useful commodities, armaments, and valuables."" textGrayColor",,,
flavorTextAbandonedStation,TradePanelFlavorText,"$global.tradePanelMode == MARKET
$abandonedStation == true score:100","AddText ""The port concourse is dark and empty but for a few looted hulks. The atmosphere reads out as thin, but there is sufficient power from hardened passive collectors to run basic life support and storage functions."" marketFlavorTextColor",,,
,,,,,,
# relationship level descriptions,,,,,,
relLevelCooperative,RelationshipLevelDesc,$faction.rel == COOPERATIVE,,"$theFaction vous fait confiance et vous est apprécié, vous avez le feu vert des patrouilles et des autorités portuaires, et vous disposez d'un accès considérable aux hauts fonctionnaires. Vous disposez d’une grande latitude et pouvez bénéficier de concessions commerciales et d’un accès à des navires et à des munitions de haute qualité.",,
relLevelFriendly,RelationshipLevelDesc,$faction.rel == FRIENDLY,,"Vous êtes relativement connu au sein de $theFaction, que ce soit en personne ou de réputation. Les petits fonctionnaires savent rester en dehors de votre chemin.",,
relLevelWelcoming,RelationshipLevelDesc,$faction.rel == WELCOMING,,Votre nom est connu de certains hauts responsables de $theFaction. Vous harceler est donc une entreprise plus risquée pour les commandants de patrouille locaux.,,
relLevelFavorable,RelationshipLevelDesc,$faction.rel == FAVORABLE,,"Les responsables de la faction $ ont tendance à vous considérer favorablement, même si cela n'a que peu d'implications. Au mieux, vous pourriez vous voir vendre du matériel militaire excédentaire de mauvaise qualité, ou éviter d’être la cible d’une enquête si un bouc émissaire plus pratique est disponible.",,
relLevelNeutral,RelationshipLevelDesc,$faction.rel == NEUTRAL,,"Vous n'êtes généralement pas bien connu des responsables de la faction $, pour le meilleur ou pour le pire.",,
relLevelSuspicious,RelationshipLevelDesc,$faction.rel == SUSPICIOUS,,"Bien que rien n’ait (encore) été prouvé, les responsables de la $faction ont tendance à vous considérer avec méfiance. L'accès au lien vers l'autorité portuaire n'est accordé qu'à contrecœur et vous vous retrouvez fréquemment l'objet d'enquêtes et de harcèlement.",,
relLevelInhospitable,RelationshipLevelDesc,$faction.rel == INHOSPITABLE,,"Les soupçons ont atteint un niveau pouvant donner lieu à des poursuites. Il n'y a pas encore d'autorisation de tir à vue, mais les ports de $faction refuseront de commercer avec vous, et les patrouilles semblent avoir pour mission de vous rendre la vie misérable.",,
relLevelHostile,RelationshipLevelDesc,$faction.rel == HOSTILE,,"$Les commandants de faction ont l'autorisation d'engager votre flotte à vue, et il est interdit à tous les marchés de commercer avec vous. Vous pourriez encore retrouver une bonne réputation auprès de $theFaction, mais cela demandera un travail sérieux.",,
relLevelVengeful,RelationshipLevelDesc,$faction.rel == VENGEFUL,,Un holo de votre visage et un hachage IDENT de votre dernière flotte connue font tous deux partie régulièrement des bulletins de sécurité inter-systèmes. Il est presque certain qu'il existe un officier de haut rang de la faction $ dont la mission principale est de vous traquer.,,
relLevelCooperativeIndie,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == independent",FireAll RelLevelMoreDescription,"Les opérateurs de flotte indépendants et les hauts responsables des pays non alignés vous considèrent comme un ami et un atout précieux. Vous êtes favorisé dans les affaires et les contrats, bénéficiez d'un accès prioritaire à l'amarrage et êtes invité à dîner avec des VIP. Vous disposez d’une grande marge de manœuvre grâce à la bonne volonté que vous avez gagnée.",,
relLevelFriendlyIndie,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == independent",FireAll RelLevelMoreDescription,"Vous jouissez d’une bonne réputation auprès de plusieurs commandants de flotte indépendants de haut niveau et de responsables politiques non alignés dans le secteur perséen. Vous êtes considéré comme un bon opérateur, favorisé en matière d'affaires et pardonnez facilement les petites indiscrétions.",,
relLevelWelcomingIndie,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == independent",FireAll RelLevelMoreDescription,"Votre nom est connu de nombreux commandants indépendants et responsables politiques non alignés. Vous êtes considéré comme un opérateur sûr, bien accueilli en matière d'affaires et facilement pardonné pour de petites indiscrétions.",,
relLevelFavorableIndie,RelationshipLevelDesc,"$faction.rel == FAVORABLE
$faction.id == independent",FireAll RelLevelMoreDescription,Vous êtes considéré comme un opérateur fiable par les opérations de flotte indépendantes et les politiques mineures du secteur Persean. Vous êtes les bienvenus en matière d'affaires.,,
relLevelNeutralIndie,RelationshipLevelDesc,"$faction.rel == NEUTRAL
$faction.id == independent",FireAll RelLevelMoreDescription,"Votre réputation n'est pas considérée comme remarquable par les opérations de flotte indépendantes et les régimes politiques mineurs du secteur Persean. Si vous êtes prêt à faire des affaires, vous serez le bienvenu.",,
relLevelSuspiciousIndie,RelationshipLevelDesc,"$faction.rel == SUSPICIOUS
$faction.id == independent",FireAll RelLevelMoreDescription,"Bien que rien n’ait (encore) été prouvé, les responsables de la $faction ont tendance à vous considérer avec méfiance. L'accès au lien vers l'autorité portuaire n'est accordé qu'à contrecœur et vous vous retrouvez fréquemment l'objet d'enquêtes et de harcèlement.",,
relLevelInhospitableIndie,RelationshipLevelDesc,"$faction.rel == INHOSPITABLE
$faction.id == independent",FireAll RelLevelMoreDescription,"Les soupçons ont atteint un niveau pouvant donner lieu à des poursuites. Il n'y a pas encore d'autorisation de tir à vue, mais les ports de $faction refuseront de commercer avec vous, et les patrouilles semblent avoir pour mission de vous rendre la vie misérable.",,
relLevelHostileIndie,RelationshipLevelDesc,"$faction.rel == HOSTILE
$faction.id == independent",FireAll RelLevelMoreDescription,"Des capitaines indépendants opportunistes peuvent engager votre flotte à vue pour collecter la prime ouverte qui a été mise en commun pour assurer votre chute. Les marchés non alignés vous sont fermés, car vous êtes considéré comme pire encore que la plupart des pirates. Vous pourriez encore retrouver votre position auprès des régimes politiques non alignés du secteur, mais cela demandera un travail sérieux.",,
relLevelVengefulIndie,RelationshipLevelDesc,"$faction.rel == VENGEFUL
$faction.id == independent",FireAll RelLevelMoreDescription,Vous êtes un fléau pour les voies spatiales. Un holo de votre visage et un scan de votre $shipOrFleet sont échangés entre des flottilles indépendantes et des administrateurs dans le cadre d'un accord de sécurité collective non officiel. Il est probable qu’une compagnie de mercenaires bien payée s’efforce de vous traquer.,,
relLevelIndieBaird,RelLevelMoreDescription,"$faction.id == independent
$global.gaKA_completed",,Vous êtes connu pour avoir travaillé pour le prévôt Baird de l'Académie Galatia.,,
relLevelCooperativePirates,RelationshipLevelDesc,"$faction.rel == COOPERATIVE
$faction.id == pirates",FireAll RelLevelMoreDescription,"Vos exploits sont légendaires et inspirent de nombreux imitateurs. Vos relations et votre influence dans la pègre sont enviables, donnant accès aux marchés noirs et aux mercenaires ; une rivière de produits chauds, de drogues et d'armements sont disponibles à votre guise.",,
relLevelFriendlyPirates,RelationshipLevelDesc,"$faction.rel == FRIENDLY
$faction.id == pirates",FireAll RelLevelMoreDescription,Vous vous êtes révélé utile à certains des dirigeants des différentes entreprises criminelles du secteur. Vous harceler peut être plus problématique que cela n'en vaut la peine pour un pirate qui veut respirer quelque chose de plus substantiel que le vide.,,
relLevelWelcomingPirates,RelationshipLevelDesc,"$faction.rel == WELCOMING
$faction.id == pirates",FireAll RelLevelMoreDescription,"Les pirates respectent votre fanfaronnade et sont enclins à respecter la notoriété que vous avez acquise dans le monde souterrain, ce qui vous permet de peser un peu pour obtenir ce que vous voulez.",,
